constituency_name,county_name,constituency_type,declaration_time,result,first_party,second_party
Aberavon,West Glamorgan,County,13/12/2019 02:30,Lab hold,Lab,Con
Aberconwy,Clwyd,County,13/12/2019 03:09,Con hold,Con,Lab
Aberdeen North,Scotland,Borough,13/12/2019 03:13,SNP hold,SNP,Con
Aberdeen South,Scotland,Borough,13/12/2019 03:34,SNP gain from Con,SNP,Con
Airdrie and Shotts,Scotland,County,13/12/2019 02:59,SNP hold,SNP,Lab
Aldershot,Hampshire,Borough,13/12/2019 02:26,Con hold,Con,Lab
Aldridge-Brownhills,West Midlands,Borough,13/12/2019 02:51,Con hold,Con,Lab
Altrincham and Sale West,Greater Manchester,Borough,13/12/2019 04:35,Con hold,Con,Lab
Alyn and Deeside,Clwyd,County,13/12/2019 04:30,Lab hold,Lab,Con
Amber Valley,Derbyshire,County,13/12/2019 03:15,Con hold,Con,Lab
Angus,Scotland,County,13/12/2019 01:55,SNP gain from Con,SNP,Con
Arfon,Gwynedd,County,13/12/2019 01:55,PC hold,PC,Lab
Argyll and Bute,Scotland,County,13/12/2019 05:43,SNP hold,SNP,Con
Arundel and South Downs,West Sussex,County,13/12/2019 08:09,Con hold,Con,LD
Ashfield,Nottinghamshire,County,13/12/2019 04:13,Con gain from Lab,Con,Ashfield Independents
Ashford,Kent,County,13/12/2019 03:03,Con hold,Con,Lab
Ashton-Under-Lyne,Greater Manchester,Borough,13/12/2019 04:05,Lab hold,Lab,Con
Aylesbury,Buckinghamshire,County,13/12/2019 04:29,Con hold,Con,Lab
"Ayr, Carrick and Cumnock",Scotland,County,13/12/2019 03:52,SNP gain from Con,SNP,Con
Banbury,Oxfordshire,County,13/12/2019 04:53,Con hold,Con,Lab
Banff and Buchan,Scotland,County,13/12/2019 05:03,Con hold,Con,SNP
Barking,London,Borough,13/12/2019 03:42,Lab hold,Lab,Con
Barnsley Central,South Yorkshire,Borough,13/12/2019 02:14,Lab hold,Lab,Brexit
Barnsley East,South Yorkshire,County,13/12/2019 02:00,Lab hold,Lab,Brexit
Barrow and Furness,Cumbria,County,13/12/2019 03:20,Con gain from Lab Coop,Con,Lab
Basildon and Billericay,Essex,Borough,13/12/2019 01:48,Con hold,Con,Lab
Basingstoke,Hampshire,Borough,13/12/2019 02:58,Con hold,Con,Lab
Bassetlaw,Nottinghamshire,County,13/12/2019 03:38,Con gain from Lab,Con,Lab
Bath,Avon,Borough,13/12/2019 02:59,LD hold,LD,Con
Batley and Spen,West Yorkshire,Borough,13/12/2019 05:16,Lab hold,Lab,Con
Battersea,London,Borough,13/12/2019 02:34,Lab hold,Lab,Con
