Date,Region,TotalgovexpenBillion,,,,,,,,,,,
01/01/2010,North East,31,,,,,,,,,,,
01/01/2011,North East,32,,,,,,,,,,,
01/01/2012,North East,32,,,,,,,,,,,
01/01/2013,North East,32,,,,,,,,,,,
01/01/2014,North East,32,,,,,,,,,,,
01/01/2015,North East,33,,,,,,,,,,,
01/01/2016,North East,33,,,,,,,,,,,
01/01/2017,North East,34,,,,,,,,,,,
01/01/2018,North East,34,,,,,,,,,,,
01/01/2019,North East,35,,,,,,,,,,,
01/01/2020,North East,36,,,,,,,,,,,
01/01/2021,North East,45,,,,,,,,,,,
01/01/2010,North West,82,,,,,,,,,,,
01/01/2011,North West,84,,,,,,,,,,,
01/01/2012,North West,84,,,,,,,,,,,
01/01/2013,North West,86,,,,,,,,,,,
01/01/2014,North West,86,,,,,,,,,,,
01/01/2015,North West,88,,,,,,,,,,,
01/01/2016,North West,89,,,,,,,,,,,
01/01/2017,North West,91,,,,,,,,,,,
01/01/2018,North West,94,,,,,,,,,,,
01/01/2019,North West,96,,,,,,,,,,,
01/01/2020,North West,99,,,,,,,,,,,
01/01/2021,North West,122,,,,,,,,,,,
01/01/2010,Yorkshire and The Humber,58,,,,,,,,,,,
01/01/2011,Yorkshire and The Humber,60,,,,,,,,,,,
01/01/2012,Yorkshire and The Humber,61,,,,,,,,,,,
01/01/2013,Yorkshire and The Humber,62,,,,,,,,,,,
01/01/2014,Yorkshire and The Humber,62,,,,,,,,,,,
01/01/2015,Yorkshire and The Humber,63,,,,,,,,,,,
01/01/2016,Yorkshire and The Humber,64,,,,,,,,,,,
01/01/2017,Yorkshire and The Humber,65,,,,,,,,,,,
01/01/2018,Yorkshire and The Humber,66,,,,,,,,,,,
01/01/2019,Yorkshire and The Humber,67,,,,,,,,,,,
01/01/2020,Yorkshire and The Humber,68,,,,,,,,,,,
01/01/2021,Yorkshire and The Humber,86,,,,,,,,,,,
01/01/2010,East Midlands,47,,,,,,,,,,,
01/01/2011,East Midlands,49,,,,,,,,,,,
01/01/2012,East Midlands,49,,,,,,,,,,,
01/01/2013,East Midlands,50,,,,,,,,,,,
01/01/2014,East Midlands,50,,,,,,,,,,,
01/01/2015,East Midlands,52,,,,,,,,,,,
01/01/2016,East Midlands,52,,,,,,,,,,,
01/01/2017,East Midlands,53,,,,,,,,,,,
01/01/2018,East Midlands,55,,,,,,,,,,,
01/01/2019,East Midlands,56,,,,,,,,,,,
01/01/2020,East Midlands,58,,,,,,,,,,,
01/01/2021,East Midlands,73,,,,,,,,,,,
01/01/2010,West Midlands,62,,,,,,,,,,,
01/01/2011,West Midlands,63,,,,,,,,,,,
01/01/2012,West Midlands,64,,,,,,,,,,,
01/01/2013,West Midlands,65,,,,,,,,,,,
01/01/2014,West Midlands,65,,,,,,,,,,,
01/01/2015,West Midlands,68,,,,,,,,,,,
01/01/2016,West Midlands,67,,,,,,,,,,,
01/01/2017,West Midlands,69,,,,,,,,,,,
01/01/2018,West Midlands,70,,,,,,,,,,,
01/01/2019,West Midlands,74,,,,,,,,,,,
01/01/2020,West Midlands,76,,,,,,,,,,,
01/01/2021,West Midlands,93,,,,,,,,,,,
01/01/2010,East of England,60,,,,,,,,,,,
01/01/2011,East of England,63,,,,,,,,,,,
01/01/2012,East of England,62,,,,,,,,,,,
01/01/2013,East of England,63,,,,,,,,,,,
01/01/2014,East of England,64,,,,,,,,,,,
01/01/2015,East of England,66,,,,,,,,,,,
01/01/2016,East of England,67,,,,,,,,,,,
01/01/2017,East of England,68,,,,,,,,,,,
01/01/2018,East of England,71,,,,,,,,,,,
01/01/2019,East of England,72,,,,,,,,,,,
01/01/2020,East of England,75,,,,,,,,,,,
01/01/2021,East of England,96,,,,,,,,,,,
01/01/2010,London,106,,,,,,,,,,,
