Year,GDP_million,Debt_million,Debt/GDP,deficit,deficit/GDP
01/01/2000,1101143,414826,37.7,-20134,-1.828463696
01/01/2001,1145323,400663,35,-13293,-1.160633289
01/01/2002,1191515,422181,35.4,13289,1.115302787
01/01/2003,1259675,462610,36.7,25604,2.032587771
01/01/2004,1323420,526431,39.8,24153,1.825044204
01/01/2005,1399643,573492,41,21106,1.507955957
01/01/2006,1472837,619115,42,18685,1.268640046
01/01/2007,1545792,666880,43.1,18004,1.164710388
01/01/2008,1594737,809985,50.8,48360,3.032474947
01/01/2009,1551882,1005405,64.8,111959,7.21440161
01/01/2010,1612381,1220252,75.7,106623,6.612767082
01/01/2011,1664211,1353765,81.3,88661,5.327509553
01/01/2012,1713241,1447791,84.5,94511,5.516503516
01/01/2013,1782296,1519787,85.3,80403,4.511203526
01/01/2014,1862827,1622144,87.1,70360,3.777054981
01/01/2015,1920998,1683922,87.7,51481,2.679909089
01/01/2016,1999461,1749166,87.5,32174,1.609133662
01/01/2017,2085008,1805994,86.6,8118,0.389351024
01/01/2018,2157410,1858417,86.1,6927,0.321079442
01/01/2019,2238348,1913521,85.5,8297,0.370675159
01/01/2020,2109594,2227714,105.6,203935,9.667025978
01/01/2021,2276715,2404797,105.6,114069,5.010245024
