Date,Party,Votes
10/12/2019,Conservatives,43
10/12/2019,Labour,34
10/12/2019,Lib Dem,12
10/12/2019,SNP,3
10/12/2019,PC,0
10/12/2019,Green,3
10/12/2019,Brexit,3
10/12/2019,UKIP,0
10/12/2019,Change,0
10/12/2019,Other,2
06/05/2015,Conservatives,34
06/05/2015,Labour,34
06/05/2015,Lib Dem,10
06/05/2015,Green,4
06/05/2015,UKIP,12
06/05/2015,Other,6
05/05/2010,Labour,28
05/05/2010,Conservatives,35
05/05/2010,Lib Dem,28
05/05/2010,Other,9
03/05/2005,Labour,38
03/05/2005,Conservatives,32
03/05/2005,Lib Dem,21
03/05/2005,Other,8
