Days,GBP_Dollar_Ex_TM,GBP_Dollar_Ex_BJ,GBP_Dollar_Ex_LT,GBP_Dollar_Ex_RS
-10,1.3267,1.2572,1.1733,1.1172
-9,,,1.1732,1.1172
-8,,1.2518,,
-7,1.3287,1.241,1.1708,1.1361
-6,1.3022,1.2433,1.1656,1.1332
-5,1.2931,1.253,1.1612,1.1212
-4,1.2908,1.2501,1.1542,1.123
-3,1.2954,1.2501,1.151,1.1311
-2,,,1.151,1.1305
-1,,1.2477,,
0,1.2998,1.2438,1.1554,1.1301
1,1.3247,1.2485,1.1511,1.1454
2,1.3147,1.2454,1.154,1.162
3,1.3343,1.2381,1.1512,1.1574
4,1.3192,1.2381,1.1597,1.1613
5,,,1.1601,1.1614
6,,1.2226,,
7,1.3255,1.2162,1.1684,1.1473
8,1.3111,1.216,1.1493,1.1483
9,1.3208,1.212,1.1547,1.1387
10,1.3233,1.2159,1.1462,1.1166
