Constituency Name,Political Party,Population,Total Tax £million,Total Housing Benefit £million,mean employment income £ ,Total mean income £ ,Income Support £million
Aberavon,Lab,69364,95,22.8515875,27200,27800,2.704699699
Aberconwy,Con,59520,86,13.73384766,25900,28900,1.062405807
Aldershot,Con,105168,275,32.11932776,33700,34300,1.482336818
Aldridge-Brownhills,Con,77683,160,16.0504216,30000,32100,1.770395974
Altrincham and Sale West,Con,102444,627,14.19227248,48800,53700,0.668184165
Alyn and Deeside,Lab,86408,153,14.50477039,28700,29800,1.263218203
Amber Valley,Con,92277,153,20.71999308,28600,30000,2.389253892
Arfon,PC,63335,85,15.18777232,26800,28700,1.532935435
Arundel and South Downs,Con,102673,464,17.42221001,40500,46300,0.87948255
Ashfield,Con,107711,146,23.25712311,27600,28400,3.793664414
Ashford,Con,125537,347,28.74922818,32300,35800,2.989137379
Ashton-under-Lyne,Lab,93835,115,28.90486694,25300,26200,2.353211111
Aylesbury,Con,127560,406,25.95957778,35800,38900,1.826443786
Banbury,Con,127518,409,23.55685004,34100,37700,1.481884435
Barking,Lab,142016,182,74.01418521,28700,29500,4.832634671
Barnsley Central,Lab,92754,120,19.75680986,26400,27000,2.500062703
Barnsley East,Lab,95768,115,20.83995833,26000,26500,2.973465628
Barrow and Furness,Con,86341,150,18.4180365,29200,30300,1.759806483
Basildon and Billericay,Con,97006,320,24.18297373,37000,38500,2.417257405
Basingstoke,Con,115887,341,26.34801106,34400,35300,1.739186328
Bassetlaw,Con,108846,197,19.25294588,27600,30000,2.019773467
Bath,LD,99583,311,19.32642428,34800,41200,0.745709561
Batley and Spen,Lab,111805,160,20.25689045,28000,29000,2.721590331
Battersea,Lab,121054,1400,49.5822429,70300,81700,2.294690769
Beaconsfield,Con,102510,807,17.72877612,53500,63100,1.13363073
Beckenham,Con,93150,537,18.09244806,46200,49300,0.947237506
Bedford,Lab,106941,221,29.66542024,30000,31600,1.819738267
Bermondsey and Old Southwark,Lab,150530,930,60.41648154,52300,56200,2.866095627
Berwick-upon-Tweed,Con,76531,139,13.58689474,26500,30000,1.494988311
Bethnal Green and Bow,Lab,156185,571,99.48024447,41500,44300,4.068925517
Beverley and Holderness,Con,100466,203,14.10397872,28900,32300,1.464323852
Bexhill and Battle,Con,107752,281,19.74288355,29700,35000,1.187952451
Bexleyheath and Crayford,Con,96003,240,29.91206571,34800,35000,2.43194429
Birkenhead,Lab,90704,137,43.37643954,28200,29700,3.990798102
Birmingham Edgbaston,Lab,106340,267,42.58814099,34600,38900,3.154374756
Birmingham Erdington,Lab,103788,99,62.96823523,25300,26200,4.947238128
Birmingham Hall Green,Lab,118904,153,49.46444171,28200,32000,3.64750711
Birmingham Hodge Hill,Lab,128694,76,51.08137312,24200,24900,5.846126097
Birmingham Ladywood,Lab,151748,144,87.97283703,27100,28700,5.525047896
Birmingham Northfield,Con,102951,149,43.51675114,28500,28500,5.408847257
Birmingham Perry Barr,Lab,111398,108,54.61135124,25600,26400,3.065926499
Birmingham Selly Oak,Lab,110168,159,37.17685848,30400,31200,3.225126034
Birmingham Yardley,Lab,113048,102,45.24729498,26400,26400,4.58293718
Bishop Auckland,Con,90323,136,24.86682577,27400,29800,3.349843865
Blackburn,Lab,110903,97,29.41515417,25000,26800,3.078377809
Blackley and Broughton,Lab,123825,120,58.6045522,25000,27200,5.188190832
Blackpool North and Cleveleys,Con,82732,91,31.28221122,24200,25800,2.969487114
Blackpool South,Con,79176,81,38.09370759,23700,25000,3.881055862
Blaenau Gwent,Lab,70020,69,22.73876238,24800,24900,2.733880104
Blaydon,Lab,87491,165,19.96250093,29600,29600,1.895102037
Blyth Valley,Con,85299,111,21.63146757,26000,26700,3.031163577
Bognor Regis and Littlehampton,Con,108276,190,31.17660107,27200,29100,1.631049294
Bolsover,Con,101224,134,20.90811179,26900,28000,2.761972142
Bolton North East,Con,99536,125,32.07003278,27000,28200,3.08539236
Bolton South East,Lab,107662,99,33.95825709,24800,26000,3.913854934
Bolton West,Con,96836,222,19.13340179,32000,34400,1.812434875
Bootle,Lab,100079,116,41.54068918,26500,27000,3.876776606
Boston and Skegness,Con,109122,137,28.15702946,23100,25700,2.692061177
Bosworth,Con,106792,273,11.95543124,31700,34000,1.011676677
Bournemouth East,Con,106367,228,39.59919118,30500,32800,1.310545163
Bournemouth West,Con,106222,186,33.90659924,27700,30800,1.776659138
Bracknell,Con,113773,408,22.33638833,37400,39400,1.222341752
Bradford East,Lab,120645,101,32.9604668,26000,27200,5.453482515
Bradford South,Lab,106750,105,30.05316943,25300,25900,4.944234184
Bradford West,Lab,120841,89,29.05914594,25700,27000,4.539324765
Braintree,Con,101548,306,18.73601853,33900,36100,1.362591461
Brecon and Radnorshire,Con,69334,119,13.04572801,27100,30800,1.025511347
Brent Central,Lab,148050,356,189.7384011,32700,35300,4.014735513
Brent North,Lab,135380,314,79.81778614,30700,33100,1.79569896
Brentford and Isleworth,Lab,136727,836,50.86257198,47800,53100,1.475607096
Brentwood and Ongar,Con,97263,616,15.85312507,48200,53500,0.930521248
Bridgend,Con,86121,149,22.46341206,29800,31700,2.185853965
Bridgwater and West Somerset,Con,114877,198,21.67876744,27400,29900,1.281917299
Brigg and Goole,Con,88968,167,13.21989176,30000,31500,1.487036766
Brighton Kemptown,Lab,96999,219,45.28014429,32200,34500,2.48117225
Brighton Pavilion,Grn,114369,295,38.73369361,34400,37600,1.350613662
Bristol East,Lab,101208,162,33.0689298,28100,29300,2.299270366
Bristol North West,Lab,106009,319,30.28890743,32200,35900,3.382964807
Bristol South,Lab,113577,200,38.76682379,28800,29900,4.566913605
Bristol West,Lab,145072,402,42.6255689,35100,40600,2.128788791
Broadland,Con,100638,237,15.35185903,29500,33400,1.114346865
Bromley and Chislehurst,Con,96924,542,31.78416188,47500,51100,2.255614893
Bromsgrove,Con,100569,374,13.39106278,36800,41600,1.178813717
Broxbourne,Con,102877,338,30.71540614,36400,38800,1.899576529
Broxtowe,Con,99416,201,13.7675235,31100,33200,1.432331528
Buckingham,Con,109654,548,16.45307117,43300,48000,1.086972249
Burnley,Con,89344,102,23.83992512,25500,27300,1.980697323
Burton,Con,109783,208,20.53987035,29200,31500,1.89969367
Bury North,Con,89814,174,17.22753686,28900,31300,1.620616927
Bury South,Con,100894,199,21.95624689,29800,32600,2.184992657
Bury St Edmunds,Con,119671,301,19.6073768,30600,33800,1.219536921
Caerphilly,Lab,88586,123,25.64928557,27600,29500,3.076295214
Calder Valley,Con,104932,249,18.41067601,32000,34500,1.482319301
Camberwell and Peckham,Lab,131131,457,67.96561076,38000,41600,2.956837627
Camborne and Redruth,Con,95458,105,30.35012022,23600,26500,2.240655081
Cambridge,Lab,115853,511,30.22306811,40100,44200,1.744326624
Cannock Chase,Con,101484,158,20.33197641,28700,29600,2.873268773
Canterbury,Lab,121786,273,26.07134945,33600,37000,2.365264062
Cardiff Central,Lab,93977,155,26.90662229,30100,33000,1.566844004
Cardiff North,Lab,91562,239,17.95194903,34300,37300,1.180378806
Cardiff South and Penarth,Lab,118913,195,48.14984641,29500,32000,4.018209625
Cardiff West,Lab,94951,202,39.06197974,32500,35500,3.313767787
Carlisle,Con,86768,133,19.29331271,28900,29100,1.619483628
Carmarthen East and Dinefwr,PC,73722,109,14.57528283,25900,29400,1.510241912
Carmarthen West and South Pembrokeshire,Con,78744,117,17.65160897,27300,29800,1.71743488
Carshalton and Wallington,Con,104173,299,27.96250264,36500,37900,1.580254773
Castle Point,Con,90524,230,17.48259827,33600,34700,1.40354975
Central Devon,Con,95224,206,17.23846065,27200,33700,1.299605587
Central Suffolk and North Ipswich,Con,103169,287,13.58291535,33100,36400,1.341516248
Ceredigion,PC,72895,102,16.69975104,26500,28500,1.174564013
Charnwood,Con,105736,278,9.673184567,31600,35800,1.052176833
Chatham and Aylesford,Con,102664,195,34.00551358,31300,32000,3.26481008
Cheadle,Con,94346,355,10.43654854,35900,39600,0.801833461
Chelmsford,Con,112605,398,27.15079324,38400,40200,2.016920496
Chelsea and Fulham,Con,109260,2440,48.33318625,110000,141000,1.129060093
Cheltenham,Con,105081,333,20.80170884,34100,38000,1.358133685
Chesham and Amersham,Con,96219,832,15.22910546,55700,62400,0.898342782
Chesterfield,Lab,94563,149,23.75861982,27300,28600,1.97084558
Chichester,Con,112101,434,26.47318841,38600,43600,1.482075123
Chingford and Woodford Green,Con,94374,352,31.26916486,39200,42100,1.836881501
Chippenham,Con,99623,276,16.08318081,32300,36000,1.263595702
Chipping Barnet,Con,119648,619,51.75372115,45300,50400,1.602753062
Chorley,Spkr,105980,225,19.34400199,29200,31000,1.43330543
Christchurch,Con,88379,224,17.07605607,31700,34300,0.733435166
Cities of London and Westminster,Con,140662,2760,67.01939719,104000,138000,1.387522297
City of Chester,Lab,97473,285,21.53879441,33500,36700,1.261538647
City of Durham,Lab,106480,185,18.69360879,31200,33200,2.008932845
Clacton,Con,90697,98,34.8583079,24100,27100,3.210186414
Cleethorpes,Con,94511,182,16.53185136,29400,32200,2.028557436
Clwyd South,Con,72387,117,17.09700082,27000,29800,1.747131589
Clwyd West,Con,74319,120,19.28769124,27000,29800,1.860287231
Colchester,Con,126501,280,34.07646807,31400,33700,3.069640777
Colne Valley,Con,113009,234,15.93041016,28500,32000,1.931800995
Congleton,Con,98900,441,14.39364345,41100,43300,0.944882919
Copeland,Con,78000,171,14.78422594,32900,33300,1.098204678
Corby,Con,126257,309,19.41526157,30500,32700,1.985099069
Coventry North East,Lab,132267,145,42.55774826,27000,27600,4.685301009
Coventry North West,Lab,114910,153,26.88046973,27200,28000,2.198460259
Coventry South,Lab,132210,191,32.43977079,30100,32200,2.73639128
Crawley,Con,112474,261,36.55657555,30500,32600,2.543866074
Crewe and Nantwich,Con,112165,239,18.29196729,30700,31400,1.660611745
Croydon Central,Lab,122640,319,56.14269339,33600,35100,2.061326019
Croydon North,Lab,148019,299,86.55937974,32600,33900,2.540251018
Croydon South,Con,117904,486,29.8126717,41900,45100,1.107715696
Cynon Valley,Lab,71658,91,22.1708657,27800,28400,3.429213696
Dagenham and Rainham,Lab,113586,191,51.83676989,30500,31200,3.625434059
Darlington,Con,92193,136,25.95719122,26500,28200,2.975599306
Dartford,Con,119925,336,24.02885122,35700,36900,2.457565936
Daventry,Con,103771,379,11.33257044,34800,40000,0.747453838
Delyn,Con,70439,122,15.52480319,27500,29100,1.245191063
Denton and Reddish,Lab,87338,122,21.35608566,26800,27500,2.10053856
Derby North,Con,101824,182,27.52872979,28900,30400,2.660777583
Derby South,Lab,117022,148,39.80600383,28900,29100,4.059770869
Derbyshire Dales,Con,81414,295,12.0814975,36600,42600,0.737291725
Devizes,Con,105426,348,15.0945065,34600,39400,0.873155065
Dewsbury,Con,115028,214,18.99947421,30000,32700,2.404978062
Don Valley,Con,101730,178,18.22657069,28400,30600,2.229552363
Doncaster Central,Lab,111660,174,24.51844297,28000,28900,2.6192832
